"H_Shannon","H_Renyi","H_Tsallis","H_Fisher","C_Shannon","C_Renyi","C_Tsallis","C_Fisher","n","Model"
0.972364654078331,0.961317333714076,0.97567247426212,0.163897140210523,0.0279640883222194,0.012549041975142,0.012736434061999,0.0021395142061584,"1000","AR2_M1"
0.972538865303571,0.961509364285509,0.975795336399531,0.149157457789637,0.027757258973263,0.0124564826347272,0.01264155931746,0.0019323548493751,"1000","AR2_M1"
0.966635587976095,0.953654182841653,0.970752259605782,0.173336779907531,0.03370774319186,0.0150948955244525,0.0153655320791567,0.00274365763850861,"1000","AR2_M1"
0.976851147298502,0.96727848934061,0.979476613064349,0.126131013768019,0.023359910336803,0.0104994514016981,0.0106318575377185,0.00136910565457421,"1000","AR2_M1"
0.959712300559123,0.944754100155518,0.964995299916,0.215577929256616,0.0407751181154508,0.0182198689638929,0.0186102266318271,0.00415748565887818,"1000","AR2_M1"
0.96003730358114,0.945171387099162,0.965266246088346,0.23882789792121,0.0404486433625302,0.0180758494158308,0.0184601518292117,0.00456744372295549,"1000","AR2_M1"
0.970208244181872,0.958437296425591,0.973827273793961,0.163672345748619,0.0301390885669543,0.0135145365365425,0.0137315443806832,0.0023078775261466,"1000","AR2_M1"
0.9606742377817,0.946050273331149,0.965836579400719,0.236459850128296,0.0398455744162146,0.0178110884481976,0.0181836010486404,0.004451779597561,"1000","AR2_M1"
0.96634905797709,0.953327194347666,0.970541560506887,0.184694142627946,0.034030663941208,0.0152387966466126,0.0155139657877596,0.0029523090267593,"1000","AR2_M1"
0.961999696914132,0.947694852568687,0.966902586260459,0.210919916497283,0.0384537732592358,0.0171951055074454,0.0175436132644452,0.003826959920656,"1000","AR2_M1"
0.973083347405289,0.962221362745571,0.976250692212921,0.14761781567358,0.0271928245904719,0.0122053875175299,0.0123833438687291,0.00187247208859128,"1000","AR2_M1"
0.958381895839019,0.943180334151753,0.963972535165392,0.235975400506429,0.0422180966428881,0.0188593657322191,0.019275116261673,0.00471844696164074,"1000","AR2_M1"
0.96226131748933,0.94818296307555,0.967218674565654,0.237199630443657,0.0383104461662127,0.017135178268913,0.0174791839329681,0.00428657559906873,"1000","AR2_M1"
0.972699537478349,0.961743498584268,0.975945108122577,0.144581374947936,0.0276135503622835,0.0123929613673503,0.0125759623427887,0.00186306577253266,"1000","AR2_M1"
0.967396038822609,0.95484995130427,0.971522242518801,0.185365710814966,0.0330884634966463,0.014824488700482,0.0150833337602564,0.0028778887003971,"1000","AR2_M1"
