"H_Shannon","H_Renyi","H_Tsallis","H_Fisher","C_Shannon","C_Renyi","C_Tsallis","C_Fisher","Var_Shannon","Var_Renyi","Var_Tsallis","Var_Fisher","n","Model"
0.940208801194687,0.920467043310863,0.949049819580313,0.333774797974428,0.0604615189530533,0.0268679964402256,0.0277023141234498,0.00974272805200836,0.0741180482220637,0.0185162246206717,0.0462849729442422,3.47316852394501,"1000","ARMA22_M1"
0.939238324214376,0.919362216160923,0.948316170820915,0.351190255445745,0.0614917801428425,0.0273212275976667,0.0281816692943262,0.0104365273343324,0.0867575294850187,0.014859171098634,0.0577648645513449,3.89344513712295,"1000","ARMA22_M1"
0.952600358933046,0.93592358169355,0.959237791196429,0.284799927027018,0.0481307466819692,0.0214646862913492,0.0219993797245508,0.00653166691063856,0.0875339051495172,0.00571516270103777,0.0674336954338483,3.4483094554928,"1000","ARMA22_M1"
0.946676150735848,0.928344520246771,0.954259780618287,0.307865715231854,0.0539338728526385,0.0240072075013863,0.0246773822259875,0.00796147975987317,0.0712891209669162,0.0285490284256272,0.0401525357499938,3.85666394998312,"1000","ARMA22_M1"
0.950956126310024,0.93366232388782,0.957756108557644,0.304909693222354,0.049619604755078,0.0221133709509981,0.0226840213718041,0.00722164853424147,0.0941959071836279,0.000665998037739624,0.0747297154826343,3.89787206782789,"1000","ARMA22_M1"
0.930286879919004,0.908847132575682,0.941297276899353,0.429570251426802,0.0705709739791037,0.0312948125032971,0.0324121854320494,0.0147916189571919,0.0876998584212398,0.0289525943373462,0.0486453053214371,5.43902803764284,"1000","ARMA22_M1"
0.945837061782593,0.927392943186345,0.953632382716885,0.312076140557397,0.0548427093609337,0.024408363282052,0.0250989678171462,0.0082136357262049,0.0869894466805519,0.0262905863819216,0.0536334678063272,4.10726616726789,"1000","ARMA22_M1"
0.95165148348972,0.934622536596194,0.958385651854795,0.268932244535465,0.0489901203124688,0.0218393205762249,0.0223945931827602,0.00628413853905527,0.0762400409319111,0.0313180042280773,0.0436099321249075,3.71705947741768,"1000","ARMA22_M1"
0.957803434959268,0.942303522860988,0.96340208405349,0.241569218354494,0.0426974935692145,0.01906729577963,0.0194942203289097,0.0048880977581771,0.0837715088336318,0.00732250423725163,0.0642283020631473,2.88452236245523,"1000","ARMA22_M1"
0.937072679821104,0.91684628328061,0.946642780127633,0.375272882350696,0.0637344243711028,0.028305420918045,0.02922531599808,0.0115856464576117,0.0759410141200474,0.0305519020953592,0.0400944618253912,4.56532560477311,"1000","ARMA22_M1"
